city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density
Kahlotus,Kahlotus,WA,Washington,53021,Franklin,46.6436,-118.5566,189,189,156
Washtucna,Washtucna,WA,Washington,53001,Adams,46.7539,-118.3104,195,195,108
Toledo,Toledo,WA,Washington,53041,Lewis,46.4412,-122.8494,738,738,708
Renton,Renton,WA,Washington,53033,King,47.4757,-122.1904,100953,100953,1663
Chehalis,Chehalis,WA,Washington,53041,Lewis,46.6649,-122.966,7498,7498,523
Waverly,Waverly,WA,Washington,53063,Spokane,47.338,-117.2313,110,110,102
Mercer Island,Mercer Island,WA,Washington,53033,King,47.5624,-122.2265,25134,25134,1535
Lynnwood,Lynnwood,WA,Washington,53061,Snohomish,47.8285,-122.3034,38092,38092,1873
Coulee City,Coulee City,WA,Washington,53025,Grant,47.6123,-119.289,569,569,243
Centralia,Centralia,WA,Washington,53041,Lewis,46.7226,-122.9695,41077,16982,875
Mountlake Terrace,Mountlake Terrace,WA,Washington,53061,Snohomish,47.7921,-122.3077,21182,21182,2015
Ilwaco,Ilwaco,WA,Washington,53049,Pacific,46.3099,-124.0417,929,929,170
Oakesdale,Oakesdale,WA,Washington,53075,Whitman,47.1304,-117.2465,435,435,161
Seattle,Seattle,WA,Washington,53033,King,47.6217,-122.3238,3541236,704352,3243
George,George,WA,Washington,53025,Grant,47.0847,-119.8601,495,495,143
Index,Index,WA,Washington,53061,Snohomish,47.8214,-121.556,199,199,340
Rosalia,Rosalia,WA,Washington,53075,Whitman,47.2365,-117.3762,565,565,354
Liberty Lake,Liberty Lake,WA,Washington,53063,Spokane,47.6687,-117.1031,9209,9209,579
Airway Heights,Airway Heights,WA,Washington,53063,Spokane,47.6464,-117.5802,6672,6672,500
Reardan,Reardan,WA,Washington,53043,Lincoln,47.67,-117.8778,567,567,447
Brier,Brier,WA,Washington,53061,Snohomish,47.7924,-122.2736,6743,6743,1196
Port Townsend,Port Townsend,WA,Washington,53031,Jefferson,48.1219,-122.7873,8782,9527,527
Waterville,Waterville,WA,Washington,53017,Douglas,47.648,-120.0707,1181,1181,521
Hamilton,Hamilton,WA,Washington,53057,Skagit,48.5281,-121.9837,299,299,103
Oak Harbor,Oak Harbor,WA,Washington,53029,Island,48.2965,-122.6331,34689,23204,928
Naches,Naches,WA,Washington,53077,Yakima,46.727,-120.6941,823,823,462
